sample	chr	startpos	endpos	nMajor	nMinor
TCGA-05-4250-01A-01D-1877-01	1	61735	40885941	1	1
TCGA-05-4250-01A-01D-1877-01	1	40886978	40922990	3	1
TCGA-05-4250-01A-01D-1877-01	1	40924285	65322140	1	1
TCGA-05-4250-01A-01D-1877-01	1	65323993	65352934	3	1
TCGA-05-4250-01A-01D-1877-01	1	65353026	68117166	1	1
TCGA-05-4250-01A-01D-1877-01	1	68117838	75240832	2	1
TCGA-05-4250-01A-01D-1877-01	1	75241532	75248739	0	0
TCGA-05-4250-01A-01D-1877-01	1	75248869	99732207	1	1
TCGA-05-4250-01A-01D-1877-01	1	99732503	99757618	1	0
TCGA-05-4250-01A-01D-1877-01	1	99758377	108789550	1	1
TCGA-05-4250-01A-01D-1877-01	1	108791632	108808188	0	0
TCGA-05-4250-01A-01D-1877-01	1	108808209	121741181	1	1
TCGA-05-4250-01A-01D-1877-01	1	143285278	212016139	3	1
TCGA-05-4250-01A-01D-1877-01	1	212022639	218379968	2	2
TCGA-05-4250-01A-01D-1877-01	1	218380187	219637144	4	1
TCGA-05-4250-01A-01D-1877-01	1	219639559	223686543	2	1
TCGA-05-4250-01A-01D-1877-01	1	223686561	230459091	3	1
TCGA-05-4250-01A-01D-1877-01	1	230461250	234172840	2	1
TCGA-05-4250-01A-01D-1877-01	1	234173185	234830751	4	1
TCGA-05-4250-01A-01D-1877-01	1	234832204	236674095	2	1
TCGA-05-4250-01A-01D-1877-01	1	236674113	237299310	4	1
TCGA-05-4250-01A-01D-1877-01	1	237300099	240850592	2	2
TCGA-05-4250-01A-01D-1877-01	1	240852466	243220863	3	1
TCGA-05-4250-01A-01D-1877-01	1	243221769	246166760	2	1
TCGA-05-4250-01A-01D-1877-01	1	246166874	248633821	3	1
TCGA-05-4250-01A-01D-1877-01	1	248633912	248661962	1	0
TCGA-05-4250-01A-01D-1877-01	1	248662519	248930189	3	1
TCGA-05-4250-01A-01D-1877-01	2	12784	74745117	4	0
TCGA-05-4250-01A-01D-1877-01	2	74749030	146104517	5	0
